eq_recipeID|enabled|name|Note|eq_tradeskillID_orig|eq_tradeskillID|eq_skill_needed|eq_trival|no_fail|replace_container|min_expansion|produced_eqid_0|produced_name_0|produced_count_0|produced_eqid_1|produced_name_1|produced_count_1|produced_eqid_2|produced_name_2|produced_count_2|produced_eqid_3|produced_name_3|produced_count_3|component_eqid_0|component_name_0|component_count_0|component_eqid_1|component_name_1|component_count_1|component_eqid_2|component_name_2|component_count_2|component_eqid_3|component_name_3|component_count_3|component_eqid_4|component_name_4|component_count_4|component_eqid_5|component_name_5|component_count_5|component_eqid_6|component_name_6|component_count_6|component_eqid_7|component_name_7|component_count_7|component_eqid_8|component_name_8|component_count_8|component_eqid_9|component_name_9|component_count_9|container_eqid_0|container_name_0|container_eqid_1|container_name_1|required_eqid_0|required_name_0|required_eqid_1|required_name_1
13|0|Fish Bones||55|55|0|171|0|0|-1|23580|Prepared Fish|1|24497|Fish Bones|1|||||||13047|Roots|1|14238|Celandine Herb|1|14976|Danak Grouper|1||||||||||||||||||||||||||9753|Filleting Knife||
14|0|Fish Bones||55|55|0|171|0|0|-1|23580|Prepared Fish|1|24497|Fish Bones|1|||||||13047|Roots|1|14238|Celandine Herb|1|22759|Despair Chub|1||||||||||||||||||||||||||9753|Filleting Knife||
15|0|Fish Bones||55|55|0|171|0|0|-1|23580|Prepared Fish|1|24497|Fish Bones|1|||||||13047|Roots|1|14238|Celandine Herb|1|22770|Dragon Bay Snapper|1||||||||||||||||||||||||||9753|Filleting Knife||
16|0|Fish Bones||55|55|0|171|0|0|-1|23580|Prepared Fish|1|24497|Fish Bones|1|||||||13019|Fresh Fish|1|13047|Roots|1|14238|Celandine Herb|1||||||||||||||||||||||||||9753|Filleting Knife||
17|0|Fish Bones||55|55|0|171|0|0|-1|23580|Prepared Fish|1|24497|Fish Bones|1|||||||13047|Roots|1|14238|Celandine Herb|1|22772|Frosty Cave Trout|1||||||||||||||||||||||||||9753|Filleting Knife||
18|0|Fish Bones||55|55|0|171|0|0|-1|23580|Prepared Fish|1|24497|Fish Bones|1|||||||13047|Roots|1|14238|Celandine Herb|1|22745|Gunthak Mackerel|1||||||||||||||||||||||||||9753|Filleting Knife||
19|0|Fish Bones||55|55|0|171|0|0|-1|23580|Prepared Fish|1|24497|Fish Bones|1|||||||13047|Roots|1|14238|Celandine Herb|1|22750|Highland Pike|1||||||||||||||||||||||||||9753|Filleting Knife||
20|0|Fish Bones||55|55|0|171|0|0|-1|23580|Prepared Fish|1|24497|Fish Bones|1|||||||13047|Roots|1|14238|Celandine Herb|1|22765|Hound Pike|1||||||||||||||||||||||||||9753|Filleting Knife||
21|0|Fish Bones||55|55|0|171|0|0|-1|23580|Prepared Fish|1|24497|Fish Bones|1|||||||13047|Roots|1|14238|Celandine Herb|1|22748|Kerra Catfish|1||||||||||||||||||||||||||9753|Filleting Knife||
22|0|Fish Bones||55|55|0|171|0|0|-1|23580|Prepared Fish|1|24497|Fish Bones|1|||||||13047|Roots|1|14238|Celandine Herb|1|14972|Krup Guppy|1||||||||||||||||||||||||||9753|Filleting Knife||
23|0|Fish Bones||55|55|0|171|0|0|-1|23580|Prepared Fish|1|24497|Fish Bones|1|||||||13047|Roots|1|14238|Celandine Herb|1|22764|Koada Cichlid|1||||||||||||||||||||||||||9753|Filleting Knife||
24|0|Fish Bones||55|55|0|171|0|0|-1|23580|Prepared Fish|1|24497|Fish Bones|1|||||||13047|Roots|1|14238|Celandine Herb|1|22762|Pine Cichlid|1||||||||||||||||||||||||||9753|Filleting Knife||
25|0|Fish Bones||55|55|0|171|0|0|-1|23580|Prepared Fish|1|24497|Fish Bones|1|||||||13047|Roots|1|14238|Celandine Herb|1|22769|Ry`Gorrian Toothfish|1||||||||||||||||||||||||||9753|Filleting Knife||
26|0|Fish Bones||55|55|0|171|0|0|-1|23580|Prepared Fish|1|24497|Fish Bones|1|||||||13047|Roots|1|14238|Celandine Herb|1|22760|Rujarkian Chub|1||||||||||||||||||||||||||9753|Filleting Knife||
27|0|Fish Bones||55|55|0|171|0|0|-1|23580|Prepared Fish|1|24497|Fish Bones|1|||||||13047|Roots|1|14238|Celandine Herb|1|22752|Thullian Mudskipper|1||||||||||||||||||||||||||9753|Filleting Knife||
28|0|Fish Bones||55|55|0|171|0|0|-1|23580|Prepared Fish|1|24497|Fish Bones|1|||||||13047|Roots|1|14238|Celandine Herb|1|14980|Timorous Tuna|1||||||||||||||||||||||||||9753|Filleting Knife||
29|0|Fish Bones||55|55|0|171|0|0|-1|23580|Prepared Fish|1|24497|Fish Bones|1|||||||13047|Roots|1|14238|Celandine Herb|1|14981|2lb Fetid Bass|1||||||||||||||||||||||||||9753|Filleting Knife||
30|0|Fish Bones||55|55|0|171|0|0|-1|23580|Prepared Fish|1|24497|Fish Bones|1|||||||13047|Roots|1|14238|Celandine Herb|1|14982|3lb Fetid Bass|1||||||||||||||||||||||||||9753|Filleting Knife||
31|0|Fish Bones||55|55|0|171|0|0|-1|23580|Prepared Fish|1|24497|Fish Bones|1|||||||13047|Roots|1|14238|Celandine Herb|1|14983|4lb Fetid Bass|1||||||||||||||||||||||||||9753|Filleting Knife||
32|0|Fish Bones||55|55|0|171|0|0|-1|23580|Prepared Fish|1|24497|Fish Bones|1|||||||13047|Roots|1|14238|Celandine Herb|1|14984|5lb Fetid Bass|1||||||||||||||||||||||||||9753|Filleting Knife||
33|0|Fish Bones||55|55|0|171|0|0|-1|23580|Prepared Fish|1|24497|Fish Bones|1|||||||13047|Roots|1|14238|Celandine Herb|1|14985|6lb Fetid Bass|1||||||||||||||||||||||||||9753|Filleting Knife||
34|0|Fish Bones||55|55|0|171|0|0|-1|23580|Prepared Fish|1|24497|Fish Bones|1|||||||13047|Roots|1|14238|Celandine Herb|1|14986|7lb Fetid Bass|1||||||||||||||||||||||||||9753|Filleting Knife||
35|0|Fish Bones||55|55|0|171|0|0|-1|23580|Prepared Fish|1|24497|Fish Bones|1|||||||13047|Roots|1|14238|Celandine Herb|1|14987|8lb Fetid Bass|1||||||||||||||||||||||||||9753|Filleting Knife||
36|0|Fish Bones||55|55|0|171|0|0|-1|23580|Prepared Fish|1|24497|Fish Bones|1|||||||13047|Roots|1|14238|Celandine Herb|1|14988|9lb Fetid Bass|1||||||||||||||||||||||||||9753|Filleting Knife||
37|0|Fish Bones||55|55|0|171|0|0|-1|23580|Prepared Fish|1|24497|Fish Bones|1|||||||13047|Roots|1|14238|Celandine Herb|1|22768|Salty Whitefish|1||||||||||||||||||||||||||9753|Filleting Knife||
38|0|Fish Bones||55|55|0|171|0|0|-1|23580|Prepared Fish|1|24497|Fish Bones|1|||||||13047|Roots|1|14238|Celandine Herb|1|22757|Stonefish|1||||||||||||||||||||||||||9753|Filleting Knife||
39|0|Fish Bones||55|55|0|171|0|0|-1|23580|Prepared Fish|1|24497|Fish Bones|1|||||||12444|Sewer Catfish|1|13047|Roots|1|14238|Celandine Herb|1||||||||||||||||||||||||||9753|Filleting Knife||
40|0|Fish Bones||55|55|0|171|0|0|-1|23580|Prepared Fish|1|24497|Fish Bones|1|||||||13047|Roots|1|14238|Celandine Herb|1|14917|Large Fetid Bass|1||||||||||||||||||||||||||9753|Filleting Knife||
41|0|Fish Bones||55|55|0|171|0|0|-1|23580|Prepared Fish|1|24497|Fish Bones|1|||||||13047|Roots|1|14238|Celandine Herb|1|22761|Barren Flounder|1||||||||||||||||||||||||||9753|Filleting Knife||
42|1|Fish Eggs||55|55|0|135|0|0|-1|13076|Fish Scales|2|16498|Fish Eggs|2|||||||22751|Thunder Salmon|1||||||||||||||||||||||||||||||||21565|Skinning Knife||
43|1|Fish Eggs||55|55|0|135|0|0|-1|13076|Fish Scales|2|16498|Fish Eggs|2|||||||22747|Greengill Salmon|1||||||||||||||||||||||||||||||||21565|Skinning Knife||
45|1|Fish Oil||55|55|0|182|0|0|-1|16493|Fish Oil|2||||||||||12561|Diseased Fish|1|12607|Purified Water|1|16598|Bottle|1|||||||||||||||||||||||||||||
47|1|Fishing Bait||55|55|0|15|0|0|-1|13101|Fishing Bait|5||||||||||22745|Gunthak Mackerel|1||||||||||||||||||||||||||||||||21565|Skinning Knife||
48|1|Giant Bloodsucker Circle Fly||55|55|0|54|0|0|-1|22722|Giant Bloodsucker Circle Fly|1||||||||||11951|Giant Mosquito Wings|1|16486|Silk Thread|1|22702|Circle Hook|1|||||||||||||||||||||||||||||
49|1|Giant Bloodsucker Dry Fly||55|55|0|26|0|0|-1|22704|Giant Bloodsucker Dry Fly|1||||||||||11951|Giant Mosquito Wings|1|16486|Silk Thread|1|22700|Dry Hook|1|||||||||||||||||||||||||||||
50|1|Giant Bloodsucker Treble Fly||55|55|0|44|0|0|-1|22713|Giant Bloodsucker Treble Fly|1||||||||||11951|Giant Mosquito Wings|1|16486|Silk Thread|1|22701|Treble Hook|1|||||||||||||||||||||||||||||
51|0|Green Gill Bones||55|55|0|171|0|0|-1|9782|Prepared Green Gill|1|24494|Green Gill Bones|1|||||||13047|Roots|1|14238|Celandine Herb|1|22747|Greengill Salmon|1||||||||||||||||||||||||||9753|Filleting Knife||
52|0|High Quality Fish Bones||55|55|0|182|0|0|-1|23580|Prepared Fish|1|24496|High Quality Fish Bones|1|||||||13047|Roots|1|14238|Celandine Herb|1|22766|Cobalt Cod|1||||||||||||||||||||||||||9753|Filleting Knife||
53|0|High Quality Fish Bones||55|55|0|182|0|0|-1|23580|Prepared Fish|1|24496|High Quality Fish Bones|1|||||||13047|Roots|1|14238|Celandine Herb|1|22773|Grotto Bluegill|1||||||||||||||||||||||||||9753|Filleting Knife||
54|0|High Quality Fish Bones||55|55|0|182|0|0|-1|23580|Prepared Fish|1|24496|High Quality Fish Bones|1|||||||13047|Roots|1|14238|Celandine Herb|1|22775|Red Roughy|1||||||||||||||||||||||||||9753|Filleting Knife||
55|0|High Quality Fish Bones||55|55|0|182|0|0|-1|23580|Prepared Fish|1|24496|High Quality Fish Bones|1|||||||13047|Roots|1|14238|Celandine Herb|1|14978|Wulf Fish|1||||||||||||||||||||||||||9753|Filleting Knife||
56|0|High Quality Fish Bones||55|55|0|190|0|0|-1|9772|Prepared Weary Wrass|1|24496|High Quality Fish Bones|1|||||||13047|Roots|1|14238|Celandine Herb|1|22774|Weary Wrass|1||||||||||||||||||||||||||9753|Filleting Knife||
57|0|High Quality Fish Bones||55|55|0|182|0|0|-1|23580|Prepared Fish|1|24496|High Quality Fish Bones|1|||||||13047|Roots|1|14238|Celandine Herb|1|14989|10lb Fetid Bass|1||||||||||||||||||||||||||9753|Filleting Knife||
58|0|High Quality Fish Bones||55|55|0|182|0|0|-1|23580|Prepared Fish|1|24496|High Quality Fish Bones|1|||||||13047|Roots|1|14238|Celandine Herb|1|14990|11lb Fetid Bass|1||||||||||||||||||||||||||9753|Filleting Knife||
59|0|High Quality Fish Bones||55|55|0|182|0|0|-1|23580|Prepared Fish|1|24496|High Quality Fish Bones|1|||||||13047|Roots|1|14238|Celandine Herb|1|14991|12lb Fetid Bass|1||||||||||||||||||||||||||9753|Filleting Knife||
60|0|High Quality Fish Bones||55|55|0|182|0|0|-1|23580|Prepared Fish|1|24496|High Quality Fish Bones|1|||||||13047|Roots|1|14238|Celandine Herb|1|14992|13lb Fetid Bass|1||||||||||||||||||||||||||9753|Filleting Knife||
61|0|High Quality Fish Bones||55|55|0|182|0|0|-1|23580|Prepared Fish|1|24496|High Quality Fish Bones|1|||||||13047|Roots|1|14238|Celandine Herb|1|14993|14lb Fetid Bass|1||||||||||||||||||||||||||9753|Filleting Knife||
62|0|High Quality Fish Bones||55|55|0|182|0|0|-1|23580|Prepared Fish|1|24496|High Quality Fish Bones|1|||||||13047|Roots|1|14238|Celandine Herb|1|14994|15lb Fetid Bass|1||||||||||||||||||||||||||9753|Filleting Knife||
63|0|High Quality Fish Bones||55|55|0|182|0|0|-1|23580|Prepared Fish|1|24496|High Quality Fish Bones|1|||||||13047|Roots|1|14238|Celandine Herb|1|14995|16lb Fetid Bass|1||||||||||||||||||||||||||9753|Filleting Knife||
64|0|High Quality Fish Bones||55|55|0|182|0|0|-1|23580|Prepared Fish|1|24496|High Quality Fish Bones|1|||||||13047|Roots|1|14238|Celandine Herb|1|14996|17lb Fetid Bass|1||||||||||||||||||||||||||9753|Filleting Knife||
65|0|High Quality Fish Bones||55|55|0|182|0|0|-1|23580|Prepared Fish|1|24496|High Quality Fish Bones|1|||||||13047|Roots|1|14238|Celandine Herb|1|14940|Humongous Fetid Bass|1||||||||||||||||||||||||||9753|Filleting Knife||
66|0|High Quality Fish Bones||55|55|0|182|0|0|-1|23580|Prepared Fish|1|24496|High Quality Fish Bones|1|||||||13047|Roots|1|14238|Celandine Herb|1|14939|Gigantic Fetid Bass|1||||||||||||||||||||||||||9753|Filleting Knife||
67|0|High Quality Fish Bones||55|55|0|182|0|0|-1|23580|Prepared Fish|1|24496|High Quality Fish Bones|1|||||||13047|Roots|1|14238|Celandine Herb|1|14919|Giant Fetid Bass|1||||||||||||||||||||||||||9753|Filleting Knife||
68|0|High Quality Fish Bones||55|55|0|182|0|0|-1|23580|Prepared Fish|1|24496|High Quality Fish Bones|1|||||||13047|Roots|1|14238|Celandine Herb|1|14974|Ikfish|1||||||||||||||||||||||||||9753|Filleting Knife||
69|0|High Quality Fish Bones||55|55|0|182|0|0|-1|23580|Prepared Fish|1|24496|High Quality Fish Bones|1|||||||13047|Roots|1|14238|Celandine Herb|1|22746|Fogwater Trout|1||||||||||||||||||||||||||9753|Filleting Knife||
70|1|Jelly Bandit Circle Fly||55|55|0|54|0|0|-1|22727|Jelly Bandit Circle Fly|1||||||||||13259|Giant Wasp Wing|1|16486|Silk Thread|1|22702|Circle Hook|1|||||||||||||||||||||||||||||
71|1|Jelly Bandit Dry Fly||55|55|0|26|0|0|-1|22709|Jelly Bandit Dry Fly|1||||||||||13259|Giant Wasp Wing|1|16486|Silk Thread|1|22700|Dry Hook|1|||||||||||||||||||||||||||||
72|0|Kunzar Bones||55|55|0|182|0|0|-1|23580|Prepared Fish|1|24498|Kunzar Bones|1|||||||13047|Roots|1|14238|Celandine Herb|1|14973|Kunzar Koi|1||||||||||||||||||||||||||9753|Filleting Knife||
73|1|Night Swooper Circle Fly||55|55|0|54|0|0|-1|22743|Night Swooper Circle Fly|1||||||||||13069|Bat Fur|1|16486|Silk Thread|1|22702|Circle Hook|1|||||||||||||||||||||||||||||
74|1|Night Swooper Dry Fly||55|55|0|26|0|0|-1|22733|Night Swooper Dry Fly|1||||||||||13069|Bat Fur|1|16486|Silk Thread|1|22700|Dry Hook|1|||||||||||||||||||||||||||||
75|1|Night Swooper Treble Fly||55|55|0|44|0|0|-1|22738|Night Swooper Treble Fly|1||||||||||13069|Bat Fur|1|16486|Silk Thread|1|22701|Treble Hook|1|||||||||||||||||||||||||||||
76|0|Nightmare Cichlid Bones||55|55|0|182|0|0|-1|23580|Prepared Fish|1|29171|Nightmare Cichlid Bones|1|||||||13047|Roots|1|14238|Celandine Herb|1|30887|Nightmare Cichlid|1||||||||||||||||||||||||||9753|Filleting Knife||
77|0|Prepared Ikfish||55|55|0|182|0|0|-1|23580|Prepared Fish|1|24496|High Quality Fish Bones|1|||||||13047|Roots|1|14238|Celandine Herb|1|14974|Ikfish|1||||||||||||||||||||||||||9753|Filleting Knife||
78|0|Prepared Fish||55|55|0|171|0|0|-1|23580|Prepared Fish|1|24497|Fish Bones|1|||||||13047|Roots|1|14238|Celandine Herb|1|14977|Cave Guppy|1||||||||||||||||||||||||||9753|Filleting Knife||
79|0|Prepared Fish||55|55|0|171|0|0|-1|23580|Prepared Fish|1|24497|Fish Bones|1|||||||13047|Roots|1|14238|Celandine Herb|1|22763|Clockwork Koi|1||||||||||||||||||||||||||9753|Filleting Knife||
80|0|Prepared Fish||55|55|0|171|0|0|-1|23580|Prepared Fish|1|24497|Fish Bones|1|||||||13047|Roots|1|14238|Celandine Herb|1|22771|Crystalline Cave Fish|1||||||||||||||||||||||||||9753|Filleting Knife||
81|0|Prepared Fish||55|55|0|171|0|0|-1|23580|Prepared Fish|1|24497|Fish Bones|1|||||||13047|Roots|1|14238|Celandine Herb|1|22759|Despair Chub|1||||||||||||||||||||||||||9753|Filleting Knife||
83|0|Prepared Fish||55|55|0|171|0|0|-1|23580|Prepared Fish|1|24497|Fish Bones|1|||||||13047|Roots|1|14238|Celandine Herb|1|22772|Frosty Cave Trout|1||||||||||||||||||||||||||9753|Filleting Knife||
84|0|Prepared Fish||55|55|0|171|0|0|-1|23580|Prepared Fish|1|24497|Fish Bones|1|||||||13047|Roots|1|14238|Celandine Herb|1|22745|Gunthak Mackerel|1||||||||||||||||||||||||||9753|Filleting Knife||
85|0|Prepared Fish||55|55|0|171|0|0|-1|23580|Prepared Fish|1|24497|Fish Bones|1|||||||13047|Roots|1|14238|Celandine Herb|1|22750|Highland Pike|1||||||||||||||||||||||||||9753|Filleting Knife||
86|0|Prepared Fish||55|55|0|171|0|0|-1|23580|Prepared Fish|1|24497|Fish Bones|1|||||||13047|Roots|1|14238|Celandine Herb|1|22765|Hound Pike|1||||||||||||||||||||||||||9753|Filleting Knife||
87|0|Prepared Fish||55|55|0|171|0|0|-1|23580|Prepared Fish|1|24497|Fish Bones|1|||||||13047|Roots|1|14238|Celandine Herb|1|22748|Kerra Catfish|1||||||||||||||||||||||||||9753|Filleting Knife||
88|0|Prepared Fish||55|55|0|171|0|0|-1|23580|Prepared Fish|1|24497|Fish Bones|1|||||||13047|Roots|1|14238|Celandine Herb|1|14972|Krup Guppy|1||||||||||||||||||||||||||9753|Filleting Knife||
89|0|Prepared Fish||55|55|0|171|0|0|-1|23580|Prepared Fish|1|24497|Fish Bones|1|||||||13047|Roots|1|14238|Celandine Herb|1|22764|Koada Cichlid|1||||||||||||||||||||||||||9753|Filleting Knife||
90|0|Prepared Fish||55|55|0|171|0|0|-1|23580|Prepared Fish|1|24497|Fish Bones|1|||||||13047|Roots|1|14238|Celandine Herb|1|22762|Pine Cichlid|1||||||||||||||||||||||||||9753|Filleting Knife||
91|0|Prepared Fish||55|55|0|171|0|0|-1|23580|Prepared Fish|1|24497|Fish Bones|1|||||||13047|Roots|1|14238|Celandine Herb|1|22769|Ry`Gorrian Toothfish|1||||||||||||||||||||||||||9753|Filleting Knife||
92|0|Prepared Chub||55|55|0|171|0|0|-1|23580|Prepared Fish|1|24497|Fish Bones|1|||||||13047|Roots|1|14238|Celandine Herb|1|22760|Rujarkian Chub|1||||||||||||||||||||||||||9753|Filleting Knife||
93|0|Prepared Fish||55|55|0|171|0|0|-1|23580|Prepared Fish|1|24497|Fish Bones|1|||||||13047|Roots|1|14238|Celandine Herb|1|22752|Thullian Mudskipper|1||||||||||||||||||||||||||9753|Filleting Knife||
94|0|Prepared Fish||55|55|0|171|0|0|-1|23580|Prepared Fish|1|24497|Fish Bones|1|||||||13047|Roots|1|14238|Celandine Herb|1|14980|Timorous Tuna|1||||||||||||||||||||||||||9753|Filleting Knife||
95|0|Prepared Fish||55|55|0|182|0|0|-1|23580|Prepared Fish|1|24496|High Quality Fish Bones|1|||||||13047|Roots|1|14238|Celandine Herb|1|22773|Grotto Bluegill|1||||||||||||||||||||||||||9753|Filleting Knife||
96|0|Prepared Fish||55|55|0|182|0|0|-1|23580|Prepared Fish|1|24498|Kunzar Bones|1|||||||13047|Roots|1|14238|Celandine Herb|1|14973|Kunzar Koi|1||||||||||||||||||||||||||9753|Filleting Knife||
97|0|Prepared Fish||55|55|0|182|0|0|-1|23580|Prepared Fish|1|24496|High Quality Fish Bones|1|||||||13047|Roots|1|14238|Celandine Herb|1|22775|Red Roughy|1||||||||||||||||||||||||||9753|Filleting Knife||
98|0|Prepared Fish||55|55|0|182|0|0|-1|23580|Prepared Fish|1|24496|High Quality Fish Bones|1|||||||13047|Roots|1|14238|Celandine Herb|1|14978|Wulf Fish|1||||||||||||||||||||||||||9753|Filleting Knife||
99|0|Prepared Fish||55|55|0|171|0|0|-1|23580|Prepared Fish|1|24497|Fish Bones|1|||||||13047|Roots|1|14238|Celandine Herb|1|22767|Iceclad Cutlassfish|1||||||||||||||||||||||||||9753|Filleting Knife||
100|0|Prepared Fish||55|55|0|171|0|0|-1|23580|Prepared Fish|1|24497|Fish Bones|1|||||||13047|Roots|1|14238|Celandine Herb|1|14976|Danak Grouper|1||||||||||||||||||||||||||9753|Filleting Knife||
101|0|Prepared Fish||55|55|0|182|0|0|-1|23580|Prepared Fish|1|24496|High Quality Fish Bones|1|||||||13047|Roots|1|14238|Celandine Herb|1|22766|Cobalt Cod|1||||||||||||||||||||||||||9753|Filleting Knife||
102|0|Prepared Fish||55|55|0|171|0|0|-1|23580|Prepared Fish|1|24497|Fish Bones|1|||||||13047|Roots|1|14238|Celandine Herb|1|22770|Dragon Bay Snapper|1||||||||||||||||||||||||||9753|Filleting Knife||
103|0|Prepared Fish||55|55|0|182|0|0|-1|23580|Prepared Fish|1|24496|High Quality Fish Bones|1|||||||13047|Roots|1|14238|Celandine Herb|1|14919|Giant Fetid Bass|1||||||||||||||||||||||||||9753|Filleting Knife||
104|0|Prepared Fish||55|55|0|182|0|0|-1|23580|Prepared Fish|1|29171|Nightmare Cichlid Bones|1|||||||13047|Roots|1|14238|Celandine Herb|1|30887|Nightmare Cichlid|1||||||||||||||||||||||||||9753|Filleting Knife||
105|0|Prepared Fish||55|55|0|182|0|0|-1|23580|Prepared Fish|1|29173|Vallorian Discus Bones|1|||||||13047|Roots|1|14238|Celandine Herb|1|30889|Vallorian Discus|1||||||||||||||||||||||||||9753|Filleting Knife||
106|0|Prepared Fish||55|55|0|171|0|0|-1|23580|Prepared Fish|1|24497|Fish Bones|1|||||||13047|Roots|1|14238|Celandine Herb|1|14981|2lb Fetid Bass|1||||||||||||||||||||||||||9753|Filleting Knife||
107|0|Prepared Fish||55|55|0|171|0|0|-1|23580|Prepared Fish|1|24497|Fish Bones|1|||||||13047|Roots|1|14238|Celandine Herb|1|14982|3lb Fetid Bass|1||||||||||||||||||||||||||9753|Filleting Knife||
108|0|Prepared Fish||55|55|0|171|0|0|-1|23580|Prepared Fish|1|24497|Fish Bones|1|||||||13047|Roots|1|14238|Celandine Herb|1|14983|4lb Fetid Bass|1||||||||||||||||||||||||||9753|Filleting Knife||
109|0|Prepared Fish||55|55|0|171|0|0|-1|23580|Prepared Fish|1|24497|Fish Bones|1|||||||13047|Roots|1|14238|Celandine Herb|1|14984|5lb Fetid Bass|1||||||||||||||||||||||||||9753|Filleting Knife||
110|0|Prepared Fish||55|55|0|171|0|0|-1|23580|Prepared Fish|1|24497|Fish Bones|1|||||||13047|Roots|1|14238|Celandine Herb|1|14985|6lb Fetid Bass|1||||||||||||||||||||||||||9753|Filleting Knife||
111|0|Prepared Fish||55|55|0|171|0|0|-1|23580|Prepared Fish|1|24497|Fish Bones|1|||||||13047|Roots|1|14238|Celandine Herb|1|14986|7lb Fetid Bass|1||||||||||||||||||||||||||9753|Filleting Knife||
112|0|Prepared Fish||55|55|0|171|0|0|-1|23580|Prepared Fish|1|24497|Fish Bones|1|||||||13047|Roots|1|14238|Celandine Herb|1|14987|8lb Fetid Bass|1||||||||||||||||||||||||||9753|Filleting Knife||
113|0|Prepared Bass||55|55|0|171|0|0|-1|23580|Prepared Fish|1|24497|Fish Bones|1|||||||13047|Roots|1|14238|Celandine Herb|1|14988|9lb Fetid Bass|1||||||||||||||||||||||||||9753|Filleting Knife||
114|0|Prepared Bass||55|55|0|182|0|0|-1|23580|Prepared Fish|1|24496|High Quality Fish Bones|1|||||||13047|Roots|1|14238|Celandine Herb|1|14989|10lb Fetid Bass|1||||||||||||||||||||||||||9753|Filleting Knife||
115|0|Prepared Bass||55|55|0|182|0|0|-1|23580|Prepared Fish|1|24496|High Quality Fish Bones|1|||||||13047|Roots|1|14238|Celandine Herb|1|14990|11lb Fetid Bass|1||||||||||||||||||||||||||9753|Filleting Knife||
116|0|Prepared Bass||55|55|0|182|0|0|-1|23580|Prepared Fish|1|24496|High Quality Fish Bones|1|||||||13047|Roots|1|14238|Celandine Herb|1|14991|12lb Fetid Bass|1||||||||||||||||||||||||||9753|Filleting Knife||
