raceid|genderid|helmtextureid|textureindex|faceindex|colortintid|modeltemplatescale|creaturemodeldata_dbcid|creaturedisplay_dbcid|creaturesounddata_dbcid
1|0|0|2|2|0|1|3603|34103|3403
1|0|0|0|1|0|1|3604|34104|3404
1|0|0|3|6|0|1|3605|34105|3405
7|0|0|0|4|0|1|3606|34106|3406
36|2|0|0|0|0|1|3607|34107|3407
7|0|0|0|2|0|1|3608|34108|3408
2|0|0|1|4|0|1|3609|34109|3409
1|0|0|1|0|0|1|3610|34110|3410
71|0|2|2|0|0|1|3611|34111|3411
2|1|0|3|3|0|1|3612|34112|3412
39|2|0|2|0|0|1|3613|34113|3413
37|2|0|1|0|0|1|3614|34114|3414
24|2|0|3|0|0|1|3615|34115|3415
22|2|0|1|0|0|1|3616|34116|3416
34|2|0|0|0|0|1|3617|34117|3417
6|0|0|1|4|0|1|3618|34118|3418
1|0|0|4|6|0|1|3619|34119|3419
70|0|0|0|0|0|1|3620|34120|3420
1|1|0|1|5|0|1|3621|34121|3421
1|0|0|11|4|0|1|3622|34122|3422
3|0|0|0|7|0|1|3623|34123|3423
1|1|0|16|4|2144|1|3624|34124|3424
37|2|0|0|0|0|1|3625|34125|3425
1|0|0|2|3|0|1|3626|34126|3426
1|0|0|1|1|0|1|3627|34127|3427
1|1|0|3|2|0|1|3628|34128|3428
1|0|0|2|0|0|1|3629|34129|3429
7|0|0|2|3|0|1|3630|34130|3430
1|0|0|4|2|0|1|3631|34131|3431
1|0|0|4|5|0|1|3632|34132|3432
1|0|0|1|3|0|1|3633|34133|3433
1|1|0|255|3|0|1|3634|34134|3434
1|0|0|4|4|0|1|3635|34135|3435
1|0|0|1|6|0|1|3636|34136|3436
11|0|0|1|7|0|1|3637|34137|3437
1|1|0|0|0|0|1|3638|34138|3438
71|1|0|5|0|0|1|3639|34139|3439
7|0|0|0|6|0|1|3640|34140|3440
36|2|0|2|0|0|1|3641|34141|3441
3|0|0|1|3|0|1|3642|34142|3442
43|2|0|0|0|0|1|3643|34143|3443
24|2|0|0|0|0|1|3644|34144|3444
1|1|0|10|2|0|1|3645|34145|3445
7|0|0|1|5|0|1|3646|34146|3446
1|1|0|1|6|0|1|3647|34147|3447
1|1|0|2|2|0|1|3648|34148|3448
1|1|0|1|1|0|1|3649|34149|3449
1|0|0|1|7|0|1|3650|34150|3450
1|1|0|1|0|0|1|3651|34151|3451
71|1|0|1|1|0|1|3652|34152|3452
71|0|0|0|2|0|1|3653|34153|3453
71|1|0|0|6|0|1|3654|34154|3454
2|0|0|0|3|0|1|3655|34155|3455
7|0|1|1|0|0|1|3656|34156|3456
12|1|0|0|2|0|1|3657|34157|3457
42|2|0|0|0|0|1|3658|34158|3458
7|1|0|1|7|0|1|3659|34159|3459
1|0|0|16|7|4033|1|3660|34160|3460
60|2|0|1|0|0|1|3661|34161|3461
7|1|0|1|4|0|1|3662|34162|3462
7|1|0|3|2|0|1|3663|34163|3463
7|0|0|1|7|0|1|3664|34164|3464
3|0|0|0|0|0|1|3665|34165|3465
1|0|0|3|5|0|1|3666|34166|3466
1|1|0|2|6|0|1|3667|34167|3467
69|2|0|0|0|0|1|3668|34168|3468
4|0|0|2|0|0|1|3669|34169|3469
2|0|0|0|2|0|1|3670|34170|3470
8|0|0|2|6|0|1|3671|34171|3471
3|0|0|3|3|0|1|3672|34172|3472
8|0|0|3|0|0|1|3673|34173|3473
67|0|0|0|0|0|1|3674|34174|3474
54|2|0|0|0|0|1|3675|34175|3475
6|0|0|2|6|0|1|3676|34176|3476
8|0|0|1|1|0|1|3677|34177|3477
71|0|0|6|0|0|1|3678|34178|3478
1|0|0|2|5|0|1|3679|34179|3479
1|0|0|2|6|0|1|3680|34180|3480
1|0|0|11|5|0|1|3681|34181|3481
2|1|0|2|0|0|1|3682|34182|3482
3|0|0|1|2|0|1|3683|34183|3483
2|0|0|1|2|0|1|3684|34184|3484
10|0|0|3|1|0|1|3685|34185|3485
71|0|0|4|0|0|1|3686|34186|3486
8|0|0|3|2|0|1|3687|34187|3487
71|0|0|2|0|0|1|3688|34188|3488
6|0|0|1|5|0|1|3689|34189|3489
7|1|0|1|2|0|1|3690|34190|3490
7|0|0|1|2|0|1|3691|34191|3491
7|1|0|2|2|0|1|3692|34192|3492
9|0|0|3|2|0|1|3693|34193|3493
4|1|0|1|2|0|1|3694|34194|3494
12|0|0|1|4|0|1|3695|34195|3495
40|2|0|0|0|0|1|3696|34196|3496
1|1|0|1|4|0|1|3697|34197|3497
12|0|0|0|3|0|1|3698|34198|3498
1|1|0|1|7|0|1|3699|34199|3499
5|0|0|1|5|0|1|3700|34200|3500
3|1|0|0|0|0|1|3701|34201|3501
6|1|0|1|2|0|1|3702|34202|3502
1|1|0|1|3|0|1|3703|34203|3503
5|1|0|2|6|0|1|3704|34204|3504
6|1|0|0|2|0|1|3705|34205|3505
7|0|0|1|0|0|1|3706|34206|3506
74|2|0|0|0|0|1|3707|34207|3507
8|0|0|2|7|0|1|3708|34208|3508
2|0|0|1|3|0|1|3709|34209|3509
44|0|1|2|0|0|1|3710|34210|3510
12|0|0|2|4|0|1|3711|34211|3511
44|0|0|0|0|0|1|3712|34212|3512
4|1|0|2|2|0|1|3713|34213|3513
1|1|0|2|3|0|1|3714|34214|3514
1|1|0|3|7|0|1|3715|34215|3515
1|1|0|3|5|0|1|3716|34216|3516
8|1|0|2|5|0|1|3717|34217|3517
1|1|0|3|1|0|1|3718|34218|3518
71|1|1|5|0|0|1|3719|34219|3519
12|0|0|0|7|0|1|3720|34220|3520
12|0|0|0|4|0|1|3721|34221|3521
11|1|0|1|0|0|1|3722|34222|3522
12|0|0|0|0|0|1|3723|34223|3523
44|0|1|1|0|0|1|3724|34224|3524
2|0|0|1|6|0|1|3725|34225|3525
120|2|0|1|3|0|1|3726|34226|3526
4|1|0|0|0|0|1|3727|34227|3527
1|1|0|16|0|9000|1|3728|34228|3528
3|1|0|16|4|9082|1|3729|34229|3529
1|0|0|4|3|0|1|3730|34230|3530
1|1|0|16|3|9081|1|3731|34231|3531
7|0|0|2|0|0|1|3732|34232|3532
11|1|0|0|3|0|1|3733|34233|3533
5|1|0|0|4|0|1|3734|34234|3534
1|0|0|16|7|9065|1|3735|34235|3535
3|1|0|16|5|9069|1|3736|34236|3536
5|1|0|16|5|9070|1|3737|34237|3537
13|2|0|0|0|0|1|3738|34238|3538
1|1|0|16|0|9073|1|3739|34239|3539
3|0|0|16|7|9074|1|3740|34240|3540
5|1|0|16|2|9075|1|3741|34241|3541
12|0|0|16|3|9078|1|3742|34242|3542
1|1|0|16|7|9079|1|3743|34243|3543
1|0|0|16|2|9080|1|3744|34244|3544
1|0|0|16|4|9082|1|3745|34245|3545
71|1|0|1|0|0|1|3746|34246|3546
1|0|1|255|5|0|1|3747|34247|3547
1|1|0|4|2|0|1|3748|34248|3548
7|1|0|1|3|0|1|3749|34249|3549
1|0|0|16|7|9131|1|3750|34250|3550
5|0|0|16|6|9132|1|3751|34251|3551
11|0|0|0|3|0|1|3752|34252|3552
1|0|0|13|2|0|1|3753|34253|3553
1|1|0|3|4|0|1|3754|34254|3554
6|0|0|0|2|0|1|3755|34255|3555
10|0|0|1|5|0|1|3756|34256|3556
5|0|0|16|7|9081|1|3757|34257|3557
6|0|0|3|7|0|1|3758|34258|3558
6|1|0|1|6|0|1|3759|34259|3559
1|0|0|16|1|10112|1|3760|34260|3560
1|1|0|16|1|10113|1|3761|34261|3561
6|1|0|1|0|0|1|3762|34262|3562
8|0|0|2|4|0|1|3763|34263|3563
8|0|0|2|0|0|1|3764|34264|3564
2|0|0|2|1|0|1|3765|34265|3565
1|1|0|16|4|10139|1|3766|34266|3566
1|0|0|16|3|10140|1|3767|34267|3567
1|1|0|16|2|10141|1|3768|34268|3568
11|0|0|0|2|0|1|3769|34269|3569
1|0|0|15|6|0|1|3770|34270|3570
8|0|0|1|4|0|1|3771|34271|3571
1|0|0|16|2|10151|1|3772|34272|3572
2|1|0|3|4|0|1|3773|34273|3573
6|1|0|1|7|0|1|3774|34274|3574
7|0|0|1|3|0|1|3775|34275|3575
11|0|0|2|0|0|1|3776|34276|3576
9|0|0|2|2|0|1|3777|34277|3577
61|2|0|0|0|0|1|3778|34278|3578
2|0|0|0|1|0|1|3779|34279|3579
6|1|0|3|2|0|1|3780|34280|3580
4|1|0|2|1|0|1|3781|34281|3581
8|0|0|2|3|0|1|3782|34282|3582
1|1|0|0|4|0|1|3783|34283|3583
28|2|1|2|0|0|1|3784|34284|3584
21|2|0|0|0|0|1|3785|34285|3585
31|2|0|0|0|0|1|3786|34286|3586
28|2|2|2|0|0|1|3787|34287|3587
28|2|0|2|0|0|1|3788|34288|3588
40|2|0|3|0|0|1|3789|34289|3589
52|0|0|0|0|0|1|3790|34290|3590
37|2|0|3|0|0|1|3791|34291|3591
127|0|0|1|0|0|1|3792|34292|3592
24|2|0|2|0|0|1|3793|34293|3593
18|2|0|0|0|0|1|3794|34294|3594
33|2|0|0|0|0|1|3795|34295|3595
50|1|0|0|0|0|1|3796|34296|3596
39|2|0|1|0|0|1|3797|34297|3597
12|1|0|0|0|0|1|3798|34298|3598
22|2|0|0|0|0|1|3799|34299|3599
82|2|0|0|0|0|1|3800|34300|3600
38|2|0|0|0|0|1|3801|34301|3601
71|1|0|2|0|0|1|3802|34302|3602
42|2|0|1|0|0|1|3803|34303|3603
1|0|2|1|3|0|1|3804|34304|3604
64|2|0|0|0|0|1|3805|34305|3605
10|0|0|2|2|0|1|3806|34306|3606
10|0|0|2|0|0|1|3807|34307|3607
1|0|0|16|0|12272|1|3808|34308|3608
2|0|0|2|4|0|1|3809|34309|3609
69|2|0|1|3|0|1|3810|34310|3610
2|1|0|3|2|0|1|3811|34311|3611
2|1|0|1|5|0|1|3812|34312|3612
2|1|0|0|2|0|1|3813|34313|3613
10|0|0|0|2|0|1|3814|34314|3614
1|0|0|13|3|0|1|3815|34315|3615
71|0|0|1|0|0|1|3816|34316|3616
7|1|0|1|6|0|1|3817|34317|3617
2|0|0|2|0|0|1|3818|34318|3618
18|2|2|2|0|0|1|3819|34319|3619
10|1|0|2|0|0|1|3820|34320|3620
1|0|0|255|0|12173|1|3821|34321|3621
14|2|0|0|0|0|1|3822|34322|3622
7|0|0|0|0|0|1|3823|34323|3623
2|1|0|1|3|0|1|3824|34324|3624
11|0|0|1|2|0|1|3825|34325|3625
47|2|0|0|0|0|1|3826|34326|3626
9|0|0|3|0|0|1|3827|34327|3627
11|1|0|1|2|0|1|3828|34328|3628
70|0|1|0|0|0|1|3829|34329|3629
1|1|0|16|0|0|1|3830|34330|3630
2|0|0|0|0|0|1|3831|34331|3631
11|1|0|0|0|0|1|3832|34332|3632
8|0|0|0|0|0|1|3833|34333|3633
127|2|0|0|3|0|1|3834|34334|3634
12|0|0|3|0|0|1|3835|34335|3635
4|0|0|1|2|0|1|3836|34336|3636
14|2|0|2|0|0|1|3837|34337|3637
13|2|0|0|1|0|1|3838|34338|3638
107|2|0|0|0|0|1|3839|34339|3639
16|2|0|1|0|0|1|3840|34340|3640
1|0|0|16|6|14216|1|3841|34341|3641
1|0|255|255|4|0|1|3842|34342|3642
4|1|0|1|3|0|1|3843|34343|3643
39|2|0|0|0|0|1|3844|34344|3644
39|2|0|3|0|0|1|3845|34345|3645
9|0|0|1|0|0|1|3846|34346|3646
125|2|1|1|0|0|1|3847|34347|3647
7|1|0|1|0|0|1|3848|34348|3648
1|1|0|2|4|0|1|3849|34349|3649
37|2|0|2|0|0|1|3850|34350|3650
4|1|0|1|7|0|1|3851|34351|3651
11|1|0|0|6|0|1|3852|34352|3652
4|0|0|1|7|0|1|3853|34353|3653
42|2|0|3|0|0|1|3854|34354|3654
11|0|0|1|3|0|1|3855|34355|3655
2|1|0|0|0|0|1|3856|34356|3656
1|1|0|2|0|0|1|3857|34357|3657
2|0|0|0|5|0|1|3858|34358|3658
2|1|0|0|5|0|1|3859|34359|3659
38|2|0|1|0|0|1|3860|34360|3660
11|0|0|0|7|0|1|3861|34361|3661
17|2|0|0|0|0|1|3862|34362|3662
30|2|0|0|0|0|1|3863|34363|3663
53|2|0|0|0|0|1|3864|34364|3664
100|2|2|2|0|0|1|3865|34365|3665
46|2|0|0|0|0|1|3866|34366|3666
6|0|0|0|0|0|1|3867|34367|3667
81|0|0|0|0|0|1|3868|34368|3668
15|0|0|0|0|0|1|3869|34369|3669
11|0|0|0|0|0|1|3870|34370|3670
11|0|0|3|0|0|1|3871|34371|3671
81|0|1|1|0|0|1|3872|34372|3672
81|1|0|0|0|0|1|3873|34373|3673
81|1|0|1|0|0|1|3874|34374|3674
11|0|0|0|6|0|1|3875|34375|3675
11|0|0|0|1|0|1|3876|34376|3676
11|1|3|255|2|19040|1|3877|34377|3677
11|0|3|255|3|19041|1|3878|34378|3678
11|0|0|2|1|0|1|3879|34379|3679
11|0|2|255|4|19050|1|3880|34380|3680
11|0|0|255|2|19051|1|3881|34381|3681
11|0|2|255|6|19052|1|3882|34382|3682
11|0|3|255|7|19053|1|3883|34383|3683
11|0|1|255|3|19054|1|3884|34384|3684
11|1|2|255|2|19055|1|3885|34385|3685
11|0|2|3|4|0|1|3886|34386|3686
11|1|1|255|5|19057|1|3887|34387|3687
11|1|3|255|2|19058|1|3888|34388|3688
11|0|2|255|2|19059|1|3889|34389|3689
11|0|0|255|0|19060|1|3890|34390|3690
11|1|1|255|5|19061|1|3891|34391|3691
11|1|0|255|3|19062|1|3892|34392|3692
11|0|0|255|2|19063|1|3893|34393|3693
11|0|0|0|4|0|1|3894|34394|3694
11|1|2|255|3|19074|1|3895|34395|3695
11|0|0|1|1|0|1|3896|34396|3696
11|1|0|0|1|0|1|3897|34397|3697
11|1|0|0|2|0|1|3898|34398|3698
11|0|0|2|5|0|1|3899|34399|3699
11|0|0|2|6|0|1|3900|34400|3700
11|0|0|1|4|0|1|3901|34401|3701
11|0|0|3|7|0|1|3902|34402|3702
11|0|1|255|6|19114|1|3903|34403|3703
4|1|0|1|6|0|1|3904|34404|3704
11|0|0|2|4|0|1|3905|34405|3705
60|2|0|2|0|0|1|3906|34406|3706
79|2|0|0|0|0|1|3907|34407|3707
70|0|1|2|0|0|1|3908|34408|3708
70|0|0|1|0|0|1|3909|34409|3709
43|2|1|1|0|0|1|3910|34410|3710
7|1|0|1|1|0|1|3911|34411|3711
6|1|0|12|0|20015|1|3912|34412|3712
6|0|0|2|5|0|1|3913|34413|3713
6|0|0|1|3|0|1|3914|34414|3714
6|0|0|22|4|0|1|3915|34415|3715
6|0|0|21|6|0|1|3916|34416|3716
6|1|0|21|2|0|1|3917|34417|3717
6|1|0|22|3|0|1|3918|34418|3718
6|0|0|255|1|0|1|3919|34419|3719
4|0|0|2|3|0|1|3920|34420|3720
5|1|0|1|2|0|1|3921|34421|3721
22|2|0|3|0|0|1|3922|34422|3722
6|0|0|22|0|0|1|3923|34423|3723
1|1|1|1|1|0|1|3924|34424|3724
6|0|0|2|1|0|1|3925|34425|3725
76|2|0|0|0|0|1|3926|34426|3726
8|0|0|3|3|0|1|3927|34427|3727
1|0|0|16|3|21146|1|3928|34428|3728
2|1|0|0|4|0|1|3929|34429|3729
70|1|0|0|0|0|1|3930|34430|3730
2|0|0|0|7|0|1|3931|34431|3731
1|0|0|0|8|0|1|3932|34432|3732
6|0|0|3|5|0|1|3933|34433|3733
2|1|0|1|0|0|1|3934|34434|3734
2|0|0|1|0|0|1|3935|34435|3735
3|0|0|1|0|0|1|3936|34436|3736
10|1|0|1|0|0|1|3937|34437|3737
7|0|0|1|6|0|1|3938|34438|3738
11|0|0|2|3|0|1|3939|34439|3739
75|2|0|3|0|0|1|3940|34440|3740
3|0|0|2|0|0|1|3941|34441|3741
1|1|0|3|3|0|1|3942|34442|3742
3|1|0|1|4|0|1|3943|34443|3743
79|2|0|1|0|0|1|3944|34444|3744
3|1|0|16|2|23000|1|3945|34445|3745
78|0|1|1|0|0|1|3946|34446|3746
3|1|0|1|1|0|1|3947|34447|3747
3|0|0|3|0|0|1|3948|34448|3748
5|1|0|0|0|0|1|3949|34449|3749
78|0|0|0|0|0|1|3950|34450|3750
3|1|0|0|1|0|1|3951|34451|3751
3|1|0|0|6|0|1|3952|34452|3752
3|1|0|16|2|23032|1|3953|34453|3753
3|0|0|16|7|23033|1|3954|34454|3754
3|0|0|16|3|23036|1|3955|34455|3755
3|1|0|16|5|23037|1|3956|34456|3756
3|1|0|16|4|23040|1|3957|34457|3757
3|0|0|16|1|23041|1|3958|34458|3758
3|1|0|0|4|0|1|3959|34459|3759
3|0|0|16|4|23070|1|3960|34460|3760
3|0|0|16|5|23071|1|3961|34461|3761
3|0|0|1|5|0|1|3962|34462|3762
3|0|0|16|0|23073|1|3963|34463|3763
3|0|0|16|2|23075|1|3964|34464|3764
3|0|0|16|0|24017|1|3965|34465|3765
78|0|1|1|4|0|1|3966|34466|3766
3|1|0|2|0|0|1|3967|34467|3767
3|0|0|2|5|0|1|3968|34468|3768
3|1|0|0|5|0|1|3969|34469|3769
3|0|0|2|6|0|1|3970|34470|3770
3|0|0|2|1|0|1|3971|34471|3771
3|0|0|2|4|0|1|3972|34472|3772
3|1|0|2|3|0|1|3973|34473|3773
3|1|0|2|6|0|1|3974|34474|3774
3|1|0|2|7|0|1|3975|34475|3775
61|2|1|1|0|0|1|3976|34476|3776
3|1|0|0|3|0|1|3977|34477|3777
3|0|0|3|4|0|1|3978|34478|3778
3|1|0|1|6|0|1|3979|34479|3779
1|0|0|20|3|0|1|3980|34480|3780
61|2|0|1|0|0|1|3981|34481|3781
77|0|0|0|0|0|1|3982|34482|3782
17|2|0|1|0|0|1|3983|34483|3783
17|2|1|2|0|0|1|3984|34484|3784
54|2|0|1|0|0|1|3985|34485|3785
1|0|0|16|1|0|1|3986|34486|3786
6|0|0|0|6|0|1|3987|34487|3787
6|1|0|0|6|0|1|3988|34488|3788
6|1|0|11|0|0|1|3989|34489|3789
5|1|0|16|1|0|1|3990|34490|3790
89|2|0|0|0|0|1|3991|34491|3791
22|2|0|2|0|0|1|3992|34492|3792
91|2|1|1|0|0|1|3993|34493|3793
5|0|0|16|1|0|1|3994|34494|3794
40|2|0|1|0|0|1|3995|34495|3795
100|2|2|0|0|0|1|3996|34496|3796
89|2|0|2|0|0|1|3997|34497|3797
91|2|0|0|0|0|1|3998|34498|3798
75|2|0|1|0|0|1|3999|34499|3799
128|0|0|0|0|0|1|4000|34500|3800
3|1|0|255|2|0|1|4001|34501|3801
124|2|1|1|0|0|1|4002|34502|3802
90|1|0|0|0|0|1|4003|34503|3803
90|0|1|1|0|0|1|4004|34504|3804
2|0|0|3|2|0|1|4005|34505|3805
90|0|0|0|0|0|1|4006|34506|3806
90|1|0|1|0|0|1|4007|34507|3807
2|1|0|1|2|0|1|4008|34508|3808
2|0|0|3|7|0|1|4009|34509|3809
2|0|0|3|4|0|1|4010|34510|3810
2|0|0|2|2|0|1|4011|34511|3811
2|1|0|2|6|0|1|4012|34512|3812
2|1|0|2|5|0|1|4013|34513|3813
2|0|0|255|6|29070|1|4014|34514|3814
40|2|0|2|0|0|1|4015|34515|3815
107|2|1|1|0|0|1|4016|34516|3816
43|2|2|2|0|0|1|4017|34517|3817
76|2|0|1|0|0|1|4018|34518|3818
43|2|1|2|0|0|1|4019|34519|3819
42|2|0|2|0|0|1|4020|34520|3820
38|2|0|4|0|0|1|4021|34521|3821
54|2|0|2|0|0|1|4022|34522|3822
2|0|0|1|5|0|1|4023|34523|3823
6|0|0|1|1|0|1|4024|34524|3824
1|0|0|16|5|0|1|4025|34525|3825
2|1|0|2|4|0|1|4026|34526|3826
2|1|0|2|2|0|1|4027|34527|3827
1|0|0|16|3|30091|1|4028|34528|3828
18|2|3|3|0|0|1|4029|34529|3829
3|0|3|1|7|0|1|4030|34530|3830
2|1|0|0|7|0|1|4031|34531|3831
6|1|0|1|4|0|1|4032|34532|3832
48|2|0|0|0|0|1|4033|34533|3833
12|0|0|2|0|0|1|4034|34534|3834
88|0|0|0|0|0|1|4035|34535|3835
12|0|0|2|3|0|1|4036|34536|3836
88|1|0|0|0|0|1|4037|34537|3837
101|2|0|1|0|0|1|4038|34538|3838
12|1|0|2|5|0|1|4039|34539|3839
12|0|0|0|6|0|1|4040|34540|3840
12|1|0|2|3|0|1|4041|34541|3841
12|0|0|2|5|0|1|4042|34542|3842
12|1|0|0|6|0|1|4043|34543|3843
38|2|0|3|0|0|1|4044|34544|3844
18|2|1|1|0|0|1|4045|34545|3845
49|2|0|0|0|0|1|4046|34546|3846
1|0|0|16|4|204071|1|4047|34547|3847
38|2|0|2|0|0|1|4048|34548|3848
109|2|0|0|0|0|1|4049|34549|3849
34|2|0|1|0|0|1|4050|34550|3850
6|1|0|2|0|0|1|4051|34551|3851
11|1|0|1|7|0|1|4052|34552|3852
4|0|0|1|1|0|1|4053|34553|3853
89|2|0|1|0|0|1|4054|34554|3854
11|0|0|0|5|0|1|4055|34555|3855
26|2|0|0|0|0|1|4056|34556|3856
6|0|0|2|0|0|1|4057|34557|3857
18|2|4|4|0|0|1|4058|34558|3858
87|2|0|0|0|0|1|4059|34559|3859
6|0|0|1|0|0|1|4060|34560|3860
91|2|0|1|0|0|1|4061|34561|3861
3|0|0|0|2|0|1|4062|34562|3862
6|0|0|3|3|0|1|4063|34563|3863
9|0|0|2|0|0|1|4064|34564|3864
6|0|0|10|5|0|1|4065|34565|3865
3|0|0|10|2|0|1|4066|34566|3866
1|0|0|10|2|0|1|4067|34567|3867
6|0|0|10|2|0|1|4068|34568|3868
3|1|0|10|2|0|1|4069|34569|3869
6|1|0|2|3|0|1|4070|34570|3870
12|0|0|10|0|0|1|4071|34571|3871
12|1|0|10|0|0|1|4072|34572|3872
6|1|0|10|5|0|1|4073|34573|3873
1|0|0|10|5|0|1|4074|34574|3874
12|0|0|10|2|0|1|4075|34575|3875
10|0|0|2|5|0|1|4076|34576|3876
12|1|0|10|2|0|1|4077|34577|3877
85|2|0|0|0|0|1|4078|34578|3878
83|2|0|0|0|0|1|4079|34579|3879
3|1|0|3|3|0|1|4080|34580|3880
78|0|0|3|0|0|1|4081|34581|3881
3|0|0|3|7|0|1|4082|34582|3882
3|0|0|16|0|0|1|4083|34583|3883
9|0|0|0|2|0|1|4084|34584|3884
56|1|0|0|0|0|1|4085|34585|3885
75|2|0|0|0|0|1|4086|34586|3886
156|2|0|2|0|0|1|4087|34587|3887
118|0|0|0|0|0|1|4088|34588|3888
118|1|0|0|0|0|1|4089|34589|3889
118|0|0|1|0|0|1|4090|34590|3890
128|0|0|3|0|0|1|4091|34591|3891
3|0|0|1|7|0|1|4092|34592|3892
60|2|0|4|0|0|1|4093|34593|3893
10|1|0|1|4|0|1|4094|34594|3894
